Rate,Timestamp
1.7708,2018-02-21 00:00:00
1.76627,2018-02-22 00:00:00
1.76548,2018-02-23 00:00:00
1.76469,2018-02-24 00:00:00
1.76403,2018-02-25 00:00:00
1.76672,2018-02-26 00:00:00
1.77166,2018-02-27 00:00:00
1.77595,2018-02-28 00:00:00
1.77172,2018-03-01 00:00:00
1.7675,2018-03-02 00:00:00
1.77846,2018-03-03 00:00:00
1.7776,2018-03-04 00:00:00
1.77785,2018-03-05 00:00:00
1.79765,2018-03-06 00:00:00
1.79978,2018-03-07 00:00:00
1.79002,2018-03-08 00:00:00
1.78026,2018-03-09 00:00:00
1.77417,2018-03-10 00:00:00
1.77463,2018-03-11 00:00:00
1.77512,2018-03-12 00:00:00
1.78597,2018-03-13 00:00:00
1.79787,2018-03-14 00:00:00
1.80978,2018-03-15 00:00:00
1.81926,2018-03-16 00:00:00
1.82625,2018-03-17 00:00:00
1.82642,2018-03-18 00:00:00
1.82569,2018-03-19 00:00:00
1.8284,2018-03-20 00:00:00
1.83111,2018-03-21 00:00:00
1.8241,2018-03-22 00:00:00
1.82504,2018-03-23 00:00:00
1.82203,2018-03-24 00:00:00
1.82133,2018-03-25 00:00:00
1.82237,2018-03-26 00:00:00
1.82408,2018-03-27 00:00:00
1.82579,2018-03-28 00:00:00
1.81893,2018-03-29 00:00:00
1.80783,2018-03-30 00:00:00
1.80748,2018-03-31 00:00:00
1.80704,2018-04-01 00:00:00
1.81109,2018-04-02 00:00:00
1.81514,2018-04-03 00:00:00
1.80171,2018-04-04 00:00:00
1.79683,2018-04-05 00:00:00
1.78874,2018-04-06 00:00:00
1.80042,2018-04-07 00:00:00
1.80094,2018-04-08 00:00:00
1.79818,2018-04-09 00:00:00
1.79541,2018-04-10 00:00:00
1.78604,2018-04-11 00:00:00
1.78329,2018-04-12 00:00:00
1.79242,2018-04-13 00:00:00
1.79441,2018-04-14 00:00:00
1.79499,2018-04-15 00:00:00
1.79557,2018-04-16 00:00:00
1.80229,2018-04-17 00:00:00
1.79545,2018-04-18 00:00:00
1.79351,2018-04-19 00:00:00
1.78386,2018-04-20 00:00:00
1.78568,2018-04-21 00:00:00
1.78751,2018-04-22 00:00:00
1.78786,2018-04-23 00:00:00
1.79039,2018-04-24 00:00:00
1.79438,2018-04-25 00:00:00
1.78911,2018-04-26 00:00:00
1.79151,2018-04-27 00:00:00
1.77924,2018-04-28 00:00:00
1.76697,2018-04-29 00:00:00
1.76836,2018-04-30 00:00:00
1.76743,2018-05-01 00:00:00
1.7482,2018-05-02 00:00:00
1.74869,2018-05-03 00:00:00
1.74278,2018-05-04 00:00:00
1.73687,2018-05-05 00:00:00
1.73751,2018-05-06 00:00:00
1.73976,2018-05-07 00:00:00
1.74778,2018-05-08 00:00:00
1.75481,2018-05-09 00:00:00
1.74089,2018-05-10 00:00:00
1.72697,2018-05-11 00:00:00
1.73275,2018-05-12 00:00:00
1.73275,2018-05-13 00:00:00
1.73195,2018-05-14 00:00:00
1.73612,2018-05-15 00:00:00
1.7377,2018-05-16 00:00:00
1.73601,2018-05-17 00:00:00
